                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.7304,                 1.2794,                 1.4576,                0.69829,                0.65207,                   0.73,                0.31759,                 1.8703,                 1.3081,                 1.5541,              0.0018416,              0.0018416,              0.0018416
                     35,                 1.7455,                 1.2556,                 1.4702,                0.77688,                0.72858,                0.81336,                0.35425,                 1.8349,                 1.2091,                  1.531,              0.0018367,              0.0018367,              0.0018367
                     36,                 1.7706,                 1.2518,                 1.4476,                0.68354,                0.71776,                0.74439,                0.30128,                  1.836,                 1.3484,                 1.5383,              0.0018317,              0.0018317,              0.0018317
                     37,                 1.7636,                 1.2596,                 1.4592,                0.67744,                0.70008,                0.71063,                0.29804,                  2.026,                 1.2593,                 1.6384,              0.0018267,              0.0018267,              0.0018267
                     38,                 1.7014,                  1.261,                 1.4498,                  0.757,                0.80535,                0.84243,                0.36156,                 1.7664,                 1.2624,                 1.4798,              0.0018218,              0.0018218,              0.0018218
                     39,                 1.7322,                 1.2785,                 1.4531,                0.76961,                0.81995,                0.84473,                0.35948,                 1.8446,                 1.2192,                 1.5431,              0.0018168,              0.0018168,              0.0018168
                     40,                 1.7169,                 1.2308,                 1.4408,                0.65048,                0.65693,                0.72096,                0.30151,                 1.8216,                 1.3047,                 1.5317,              0.0018119,              0.0018119,              0.0018119
                     41,                 1.7229,                 1.2547,                 1.4451,                0.73758,                0.73856,                0.79918,                 0.3377,                 1.8076,                 1.2447,                 1.5073,              0.0018069,              0.0018069,              0.0018069
                     42,                 1.6791,                 1.2181,                 1.3988,                0.67916,                 0.7056,                 0.7632,                0.34556,                 1.8885,                 1.1577,                 1.5865,               0.001802,               0.001802,               0.001802
                     43,                 1.6629,                 1.2478,                 1.3885,                 0.6089,                0.71973,                0.74497,                0.34538,                 1.8193,                 1.1989,                 1.5193,              0.0017971,              0.0017971,              0.0017971
                     44,                  1.656,                 1.2138,                 1.3983,                0.75987,                0.73915,                0.81192,                0.36454,                 1.7973,                 1.1835,                 1.5106,              0.0017921,              0.0017921,              0.0017921
                     45,                 1.6718,                 1.2276,                 1.4108,                0.69746,                0.74696,                0.77831,                0.34922,                 1.8232,                 1.2074,                 1.5114,              0.0017872,              0.0017872,              0.0017872
                     46,                 1.6745,                  1.238,                 1.4039,                0.66379,                0.77616,                0.77509,                0.31328,                 1.7841,                 1.2793,                 1.4966,              0.0017822,              0.0017822,              0.0017822
                     47,                 1.6485,                 1.2291,                  1.391,                0.70876,                0.76975,                0.76396,                0.32765,                 1.7684,                 1.2894,                 1.4975,              0.0017772,              0.0017772,              0.0017772
                     48,                 1.6796,                 1.1988,                 1.4145,                0.66343,                0.70502,                0.75372,                0.32293,                  1.823,                 1.2914,                 1.5331,              0.0017723,              0.0017723,              0.0017723
                     49,                 1.6385,                 1.2188,                 1.4137,                0.74407,                0.72153,                0.80049,                0.36159,                 1.8609,                 1.1633,                 1.5353,              0.0017674,              0.0017674,              0.0017674
                     50,                 1.6618,                 1.2033,                 1.4079,                0.57089,                 0.7129,                0.69789,                0.30696,                 1.7401,                 1.2958,                 1.4812,              0.0017624,              0.0017624,              0.0017624
                     51,                 1.6535,                 1.2151,                 1.4111,                0.63012,                0.70466,                0.72669,                0.31292,                 1.8269,                 1.2741,                 1.5427,              0.0017575,              0.0017575,              0.0017575
                     52,                  1.618,                 1.2161,                 1.4043,                0.67475,                0.77228,                 0.7892,                0.35985,                 1.8214,                 1.1315,                 1.5206,              0.0017525,              0.0017525,              0.0017525
                     53,                 1.6642,                 1.2104,                 1.4127,                0.70542,                0.71081,                0.75694,                0.30913,                  1.897,                  1.191,                 1.5878,              0.0017476,              0.0017476,              0.0017476
                     54,                 1.6318,                  1.198,                 1.3767,                0.57161,                0.66423,                0.67207,                 0.2559,                 1.8424,                 1.3816,                 1.5393,              0.0017426,              0.0017426,              0.0017426
                     55,                 1.6406,                 1.1927,                 1.3996,                0.74079,                0.77372,                0.81645,                0.32757,                 1.7584,                 1.2488,                  1.478,              0.0017376,              0.0017376,              0.0017376
                     56,                 1.6201,                 1.1486,                 1.3752,                0.65928,                0.67883,                0.72968,                0.28926,                 1.8981,                 1.2733,                 1.5756,              0.0017327,              0.0017327,              0.0017327
                     57,                 1.6536,                 1.1795,                 1.4053,                0.64468,                0.68856,                 0.7271,                0.34853,                 1.7275,                 1.2062,                  1.469,              0.0017278,              0.0017278,              0.0017278
                     58,                  1.615,                 1.2019,                  1.379,                0.50014,                0.82041,                0.67597,                0.26078,                 1.8935,                  1.297,                 1.5803,              0.0017228,              0.0017228,              0.0017228
