                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.7139,                 1.2294,                 1.4497,                0.69952,                0.73236,                0.76841,                0.32048,                 1.8217,                 1.2682,                 1.5205,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.7232,                 1.2335,                 1.4251,                0.62215,                0.60827,                0.66494,                0.30051,                 1.8874,                 1.4074,                 1.5632,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.7059,                 1.2456,                 1.4319,                0.71567,                0.72267,                0.76637,                0.34398,                  2.006,                 1.2152,                 1.6308,               0.001307,               0.001307,               0.001307
                     38,                  1.674,                  1.237,                 1.4318,                0.75482,                0.76156,                0.79545,                0.31936,                  1.913,                 1.2545,                  1.588,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.6952,                 1.2507,                  1.434,                0.72257,                 0.7129,                0.77887,                0.33502,                  1.938,                 1.2308,                 1.6158,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.6779,                 1.2429,                 1.4267,                0.69092,                0.69343,                 0.7698,                0.36937,                 1.7371,                 1.2199,                 1.4732,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.6616,                 1.2647,                 1.4162,                0.69905,                0.71533,                 0.7744,                0.34828,                 1.8685,                 1.2534,                  1.561,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.6585,                 1.2165,                   1.39,                0.65208,                0.72749,                0.76532,                0.33404,                 1.8555,                 1.2254,                 1.5573,               0.001208,               0.001208,               0.001208
                     43,                 1.6456,                 1.2346,                 1.3754,                0.67205,                0.67883,                0.73783,                0.34026,                 1.7803,                 1.2198,                 1.4993,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.6717,                 1.2145,                 1.4083,                0.67439,                0.73723,                0.76482,                 0.3631,                 1.8578,                 1.1583,                 1.5558,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.6664,                 1.2049,                 1.4024,                0.62801,                0.67777,                 0.7123,                0.32528,                 1.8462,                 1.2367,                 1.5246,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.6497,                 1.2229,                 1.3951,                0.67324,                0.72506,                0.77899,                0.32159,                 1.9239,                 1.2142,                 1.5886,              0.0011288,              0.0011288,              0.0011288
                     47,                  1.636,                 1.1819,                 1.3874,                0.75356,                0.77129,                0.81121,                0.38564,                 1.7709,                 1.1428,                 1.4934,               0.001109,               0.001109,               0.001109
                     48,                  1.607,                 1.1747,                 1.3816,                0.69799,                 0.7056,                0.76549,                0.33062,                 1.9197,                 1.2149,                 1.6126,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.5928,                 1.1892,                 1.3947,                0.71785,                0.70803,                0.78583,                0.38518,                 1.7059,                 1.1667,                 1.4607,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.6229,                 1.1904,                 1.3869,                0.56254,                0.72749,                0.70125,                0.33941,                 1.7688,                 1.2241,                 1.4855,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.6146,                 1.1761,                 1.3888,                 0.6727,                 0.6551,                0.75709,                0.37212,                 1.7973,                 1.1737,                  1.509,              0.0010298,              0.0010298,              0.0010298
                     52,                  1.603,                 1.1931,                 1.4015,                0.72755,                0.76399,                0.80649,                0.38016,                 1.8705,                 1.1191,                 1.5479,                0.00101,                0.00101,                0.00101
                     53,                 1.5933,                 1.1692,                 1.3706,                0.63822,                0.74209,                0.76843,                 0.3485,                 1.7623,                 1.1637,                 1.4979,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.5856,                 1.1686,                 1.3526,                0.61497,                0.73059,                 0.7371,                0.33081,                 1.7487,                 1.2168,                  1.478,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.5833,                 1.1481,                 1.3716,                0.60223,                 0.7129,                0.72686,                0.33028,                 1.8185,                 1.2004,                 1.5279,              0.0009506,              0.0009506,              0.0009506
                     56,                  1.544,                 1.1392,                 1.3379,                0.66399,                 0.6618,                0.72534,                0.33898,                 1.8245,                 1.1876,                 1.5288,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.5764,                 1.1592,                 1.3726,                0.73244,                0.76642,                0.80371,                0.38059,                 1.7732,                 1.1198,                 1.4993,               0.000911,               0.000911,               0.000911
                     58,                 1.5529,                 1.1582,                 1.3477,                0.56373,                0.70803,                0.65195,                0.27381,                 1.9175,                 1.4881,                 1.5753,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.5574,                 1.1501,                 1.3469,                0.58045,                0.70803,                0.70265,                0.30272,                 1.8293,                 1.2323,                 1.5419,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.5959,                 1.1655,                 1.3572,                0.62404,                0.74453,                0.71297,                0.32385,                 1.8296,                 1.1941,                 1.5236,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.5459,                 1.1249,                 1.3475,                0.65713,                0.74612,                0.77716,                 0.3723,                 1.7501,                 1.1292,                 1.4707,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.5051,                 1.1289,                 1.3454,                0.65832,                0.74939,                0.76326,                 0.3365,                 1.8287,                 1.1672,                 1.5282,               0.000812,               0.000812,               0.000812
                     63,                 1.5603,                 1.1499,                 1.3446,                0.73189,                0.67747,                0.76896,                0.38687,                 1.8221,                 1.1128,                  1.517,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.5435,                 1.1353,                 1.3483,                0.64985,                0.68613,                0.74147,                0.37102,                 1.7897,                 1.1372,                   1.51,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.5472,                 1.1448,                 1.3478,                0.73237,                0.71533,                 0.8115,                0.42357,                 1.6662,                 1.0911,                 1.4272,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.5062,                 1.1476,                 1.3108,                 0.6235,                0.71533,                0.74649,                0.35102,                 1.7803,                 1.1619,                 1.4941,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.4877,                 1.1276,                 1.3127,                0.63184,                0.78087,                 0.7713,                0.36766,                 1.7153,                 1.1358,                 1.4664,               0.000713,               0.000713,               0.000713
                     68,                 1.5119,                 1.1238,                 1.3201,                0.57386,                0.72263,                0.72312,                0.33794,                 1.7329,                 1.1823,                 1.4678,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.4823,                 1.1269,                 1.3016,                0.73623,                0.72749,                0.81579,                0.40776,                 1.6985,                 1.0702,                 1.4559,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.4816,                 1.1542,                 1.3088,                 0.6503,                0.72993,                0.74294,                0.37097,                 1.6891,                 1.1071,                  1.444,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.4931,                 1.1155,                  1.331,                0.67494,                0.70727,                0.75625,                0.37296,                 1.7012,                 1.1605,                 1.4555,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.4895,                  1.116,                 1.3176,                0.75047,                  0.783,                 0.8249,                0.38945,                 1.7659,                 1.0638,                 1.4835,               0.000614,               0.000614,               0.000614
                     73,                 1.5043,                 1.1105,                 1.3264,                0.67791,                0.71181,                0.75884,                0.37069,                 1.7976,                 1.1259,                 1.5146,              0.0005942,              0.0005942,              0.0005942
